mcu_message,bytes_mcu_message,ping_s,server_message,bytes_server_message
"{red:21,yellow:22,green:23}",27,1.147117,get_leds_dict,13
turn_led  21 on : success,25,1.834011,turn_led_on 21,14
turn_led  23 on : success,25,3.370029,turn_led_on 23,14
turn_led  22 on : success,25,1.35111,turn_led_on 22,14
turn_led  21 off : success,26,1.3331,turn_led_off 21,15
turn_led  23 off : success,26,1.225121,turn_led_off 23,15
turn_led  22 off : success,26,1.057667,turn_led_off 22,15
turn_led  21 on : success,25,1.088041,turn_led_on 21,14
turn_led  22 off : success,26,1.1362,turn_led_off 22,15
turn_led  23 off : success,26,1.393478,turn_led_off 23,15
turn_led  21 off : success,26,1.598222,turn_led_off 21,15
turn_led  22 off : success,26,2.067752,turn_led_off 22,15
turn_led  23 on : success,25,1.123804,turn_led_on 23,14
turn_led  21 off : success,26,1.078984,turn_led_off 21,15
turn_led  22 on : success,25,1.227986,turn_led_on 22,14
turn_led  23 off : success,26,1.397204,turn_led_off 23,15
0.96,4,1.743733,get_distance,12
0.91,4,1.799251,get_distance,12
turn_led  21 on : success,25,1.509947,turn_led_on 21,14
turn_led  22 off : success,26,1.23868,turn_led_off 22,15
turn_led  23 off : success,26,1.359861,turn_led_off 23,15
turn_led  21 on : success,25,1.297128,turn_led_on 21,14
turn_led  23 on : success,25,1.058989,turn_led_on 23,14
turn_led  22 on : success,25,1.308093,turn_led_on 22,14
turn_led  21 off : success,26,1.138979,turn_led_off 21,15
turn_led  23 off : success,26,1.073367,turn_led_off 23,15
turn_led  22 off : success,26,1.543695,turn_led_off 22,15
turn_led  21 on : success,25,1.441002,turn_led_on 21,14
turn_led  22 off : success,26,1.114813,turn_led_off 22,15
turn_led  23 off : success,26,3.692094,turn_led_off 23,15
turn_led  21 off : success,26,1.442486,turn_led_off 21,15
turn_led  22 off : success,26,1.118312,turn_led_off 22,15
turn_led  23 on : success,25,1.513514,turn_led_on 23,14
turn_led  21 off : success,26,1.265982,turn_led_off 21,15
turn_led  22 on : success,25,1.134819,turn_led_on 22,14
turn_led  23 off : success,26,1.050997,turn_led_off 23,15
0.93,4,1.122012,get_distance,12
0.93,4,1.279084,get_distance,12
turn_led  21 on : success,25,1.128792,turn_led_on 21,14
turn_led  22 off : success,26,1.328142,turn_led_off 22,15
turn_led  23 off : success,26,1.229087,turn_led_off 23,15
